global_sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
509338,3,4,7,Alkane | Carbamate | Ether | Imide | Sulfide,Alcohol | Alkane | Ester | Ether | Haloalkane | Phenol,Carbamate | Imide | Sulfide,Alcohol | Ester | Haloalkane | Phenol,Carbamate=0.0000 | Imide=0.0000 | Sulfide=0.2634,Alcohol=0.9007 | Ester=0.9880 | Haloalkane=0.3998 | Phenol=0.8500
510965,2,5,7,Alkane | Arene | Ester | Ether,Alkane | Alkene | Amide | Arene | Haloalkane | Imide | Thioamide,Ester | Ether,Alkene | Amide | Haloalkane | Imide | Thioamide,Ester=0.0157 | Ether=0.2099,Alkene=0.6841 | Amide=0.9843 | Haloalkane=0.9157 | Imide=0.9465 | Thioamide=0.9961
513746,3,4,7,Acyl halide | Alkane | Alkene | Amide | Arene | Ester | Ether | Haloalkane,Aldehyde | Alkane | Arene | Ester | Ether | Haloalkane | Hydrazine | Imine | Ketone,Acyl halide | Alkene | Amide,Aldehyde | Hydrazine | Imine | Ketone,Acyl halide=0.0003 | Alkene=0.2720 | Amide=0.2261,Aldehyde=0.9175 | Hydrazine=0.9848 | Imine=0.9717 | Ketone=0.7378
519235,3,4,7,Alkane | Amine | Carbamate | Ether | Haloalkane,Alkane | Amide | Amine | Sulfide | Sulfonamide | Thioamide,Carbamate | Ether | Haloalkane,Amide | Sulfide | Sulfonamide | Thioamide,Carbamate=0.5000 | Ether=0.1220 | Haloalkane=0.3397,Amide=0.6086 | Sulfide=0.9788 | Sulfonamide=0.9970 | Thioamide=0.9713
521280,5,2,7,Alkane | Alkene | Arene | Carbamate | Enamine | Ester | Ether | Haloalkane,Alkane | Amide | Amine | Carbamate | Ether,Alkene | Arene | Enamine | Ester | Haloalkane,Amide | Amine,Alkene=0.0383 | Arene=0.1902 | Enamine=0.0000 | Ester=0.1167 | Haloalkane=0.2459,Amide=0.7995 | Amine=0.7479
524360,5,2,7,Alcohol | Alkane | Alkene | Arene | Carboxylic acid | Enol | Ester | Ether | Sulfide,Alcohol | Alkane | Arene | Carboxylic acid | Haloalkane | Phenol,Alkene | Enol | Ester | Ether | Sulfide,Haloalkane | Phenol,Alkene=0.3469 | Enol=0.0000 | Ester=0.0896 | Ether=0.0756 | Sulfide=0.2971,Haloalkane=0.5266 | Phenol=0.9674
529808,4,3,7,Alkane | Amine | Arene | Ether | Nitrile | Sulfide,Alkane | Ester | Ether | Haloalkane | Imine,Amine | Arene | Nitrile | Sulfide,Ester | Haloalkane | Imine,Amine=0.0177 | Arene=0.1310 | Nitrile=0.0004 | Sulfide=0.3884,Ester=0.7647 | Haloalkane=0.6417 | Imine=0.9884
543795,4,3,7,Alcohol | Alkane | Amide | Arene | Carbamate | Ether | Imide | Phenol,Alkane | Amine | Arene | Ether | Haloalkane | Imide | Sulfide,Alcohol | Amide | Carbamate | Phenol,Amine | Haloalkane | Sulfide,Alcohol=0.0072 | Amide=0.2237 | Carbamate=0.0694 | Phenol=0.0052,Amine=0.9884 | Haloalkane=0.4609 | Sulfide=0.9506
551566,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Ether | Imide | Sulfonamide | Thioamide,Alkane | Amide | Arene | Ether | Haloalkane | Sulfide,Alkene | Amine | Imide | Sulfonamide | Thioamide,Haloalkane | Sulfide,Alkene=0.0137 | Amine=0.3665 | Imide=0.0068 | Sulfonamide=0.4959 | Thioamide=0.0522,Haloalkane=0.5788 | Sulfide=0.6320
552627,4,3,7,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Haloalkane | Sulfonamide,Alcohol | Alkane | Amine | Arene | Ester | Ether | Sulfone,Amide | Carboxylic acid | Haloalkane | Sulfonamide,Ester | Ether | Sulfone,Amide=0.0322 | Carboxylic acid=0.4002 | Haloalkane=0.1759 | Sulfonamide=0.6503,Ester=0.9346 | Ether=0.9273 | Sulfone=0.9525
552924,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Hydrazone | Sulfide,Alkane | Arene | Ether | Haloalkane | Hydrazone,Alkene | Amide | Amine | Enamine | Sulfide,Ether | Haloalkane,Alkene=0.1295 | Amide=0.0560 | Amine=0.1786 | Enamine=0.0722 | Sulfide=0.1743,Ether=0.4070 | Haloalkane=0.5193
578905,4,3,7,Alkane | Arene | Ester | Ether | Haloalkane | Sulfoxide | Thial,Alcohol | Alkane | Alkene | Amine | Arene | Haloalkane,Ester | Ether | Sulfoxide | Thial,Alcohol | Alkene | Amine,Ester=0.0740 | Ether=0.0347 | Sulfoxide=0.0000 | Thial=0.0002,Alcohol=0.9498 | Alkene=0.9962 | Amine=0.8983
594406,5,2,7,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Hydrazone | Imine | Sulfoxide,Alkane | Amine | Arene | Ether | Haloalkane | Sulfide,Alkene | Enamine | Hydrazone | Imine | Sulfoxide,Ether | Sulfide,Alkene=0.0154 | Enamine=0.0000 | Hydrazone=0.0000 | Imine=0.0000 | Sulfoxide=0.0001,Ether=0.6142 | Sulfide=0.8110
603323,3,4,7,Alcohol | Alkane | Amine | Arene | Carboxylic acid | Ether | Sulfide,Alcohol | Alkane | Amide | Arene | Haloalkane | Hydrazone | Phenol | Sulfide,Amine | Carboxylic acid | Ether,Amide | Haloalkane | Hydrazone | Phenol,Amine=0.4731 | Carboxylic acid=0.1047 | Ether=0.1009,Amide=0.9136 | Haloalkane=0.4914 | Hydrazone=0.9589 | Phenol=0.9406
641600,3,4,7,Alcohol | Alkane | Amine | Arene | Ester | Ether | Haloalkane | Phenol | Sulfonamide,Alcohol | Alkane | Amide | Amine | Arene | Enol | Ether | Ketone | Sulfonamide | Sulfone,Ester | Haloalkane | Phenol,Amide | Enol | Ketone | Sulfone,Ester=0.2533 | Haloalkane=0.3377 | Phenol=0.3496,Amide=0.7529 | Enol=0.9530 | Ketone=0.7668 | Sulfone=0.7941
653672,1,6,7,Aldehyde | Alkane,Alkane | Alkene | Amide | Ester | Ether | Haloalkane | Sulfide,Aldehyde,Alkene | Amide | Ester | Ether | Haloalkane | Sulfide,Aldehyde=0.0022,Alkene=0.7152 | Amide=0.8536 | Ester=0.6363 | Ether=0.7341 | Haloalkane=0.4151 | Sulfide=0.5087
659209,2,5,7,Alcohol | Alkane | Amine | Arene | Phenol | Sulfonamide,Alcohol | Alkane | Amide | Amine | Arene | Ether | Haloalkane | Sulfide | Sulfone,Phenol | Sulfonamide,Amide | Ether | Haloalkane | Sulfide | Sulfone,Phenol=0.1471 | Sulfonamide=0.0005,Amide=0.8191 | Ether=0.5171 | Haloalkane=0.4577 | Sulfide=0.5141 | Sulfone=0.9997
667609,5,2,7,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Enol | Ester | Ether | Haloalkane | Sulfonamide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Phenol | Sulfone,Alkene | Amine | Enamine | Enol | Sulfonamide,Phenol | Sulfone,Alkene=0.0731 | Amine=0.0528 | Enamine=0.0007 | Enol=0.0176 | Sulfonamide=0.0229,Phenol=0.9982 | Sulfone=0.8476
683792,6,1,7,Alkane | Alkene | Amine | Enamine | Ester | Ether | Ketone | Sulfide | Thioamide,Alkane | Amine | Ether | Haloalkane,Alkene | Enamine | Ester | Ketone | Sulfide | Thioamide,Haloalkane,Alkene=0.0313 | Enamine=0.0167 | Ester=0.5738 | Ketone=0.0575 | Sulfide=0.0642 | Thioamide=0.1300,Haloalkane=0.6904
694595,3,4,7,Alkane | Amide | Amine | Arene | Haloalkane | Imine | Sulfide,Alkane | Alkene | Amide | Amine | Arene | Ester | Ether | Ketone,Haloalkane | Imine | Sulfide,Alkene | Ester | Ether | Ketone,Haloalkane=0.1416 | Imine=0.0361 | Sulfide=0.0713,Alkene=0.7488 | Ester=0.8006 | Ether=0.7957 | Ketone=0.8238
704995,2,5,7,Acyl halide | Alkane | Haloalkane,Alkane | Amide | Amine | Arene | Ether | Sulfide,Acyl halide | Haloalkane,Amide | Amine | Arene | Ether | Sulfide,Acyl halide=0.0000 | Haloalkane=0.3288,Amide=0.7406 | Amine=0.9922 | Arene=0.9661 | Ether=0.4202 | Sulfide=0.5861
712631,2,5,7,Aldehyde | Alkane | Arene,Alkene | Amide | Amine | Arene | Haloalkane | Sulfide,Aldehyde | Alkane,Alkene | Amide | Amine | Haloalkane | Sulfide,Aldehyde=0.3034 | Alkane=0.0063,Alkene=0.6975 | Amide=0.8178 | Amine=0.9505 | Haloalkane=0.6421 | Sulfide=0.9825
716030,4,3,7,Alcohol | Alkane | Alkene | Amine | Carboxylic acid | Enamine | Ketone,Alcohol | Alkane | Arene | Carboxylic acid | Ester | Ether,Alkene | Amine | Enamine | Ketone,Arene | Ester | Ether,Alkene=0.0072 | Amine=0.0408 | Enamine=0.0000 | Ketone=0.0821,Arene=0.8455 | Ester=0.6668 | Ether=0.5065
741797,3,4,7,Alcohol | Alkane | Alkene | Arene | Carboxylic acid,Alcohol | Alkane | Ester | Ether | Phenol | Sulfide,Alkene | Arene | Carboxylic acid,Ester | Ether | Phenol | Sulfide,Alkene=0.1739 | Arene=0.0856 | Carboxylic acid=0.0141,Ester=0.7357 | Ether=0.8815 | Phenol=0.8835 | Sulfide=0.6559
777198,1,6,7,Alcohol | Alkane | Amide | Amine | Arene,Alcohol | Alkane | Amide | Arene | Ester | Ether | Haloalkane | Ketone | Phenol | Sulfide,Amine,Ester | Ether | Haloalkane | Ketone | Phenol | Sulfide,Amine=0.0092,Ester=0.9580 | Ether=0.4443 | Haloalkane=0.4941 | Ketone=0.8405 | Phenol=0.8279 | Sulfide=0.5792
778307,4,3,7,Alkene | Amine | Arene | Enamine | Hydrazine,Alcohol | Alkane | Arene | Hydrazone,Alkene | Amine | Enamine | Hydrazine,Alcohol | Alkane | Hydrazone,Alkene=0.1011 | Amine=0.2247 | Enamine=0.0000 | Hydrazine=0.0000,Alcohol=0.9102 | Alkane=0.2802 | Hydrazone=0.8822
783085,4,3,7,Alkane | Alkene | Amide | Arene | Enamine | Haloalkane,Alkane | Amine | Arene | Ether | Ketone,Alkene | Amide | Enamine | Haloalkane,Amine | Ether | Ketone,Alkene=0.0896 | Amide=0.4226 | Enamine=0.0288 | Haloalkane=0.3354,Amine=0.9984 | Ether=0.7428 | Ketone=0.9505
787188,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ester | Ether,Alkane | Amine | Arene | Haloalkane | Sulfide,Alkene | Amide | Enamine | Ester | Ether,Haloalkane | Sulfide,Alkene=0.3915 | Amide=0.4323 | Enamine=0.0060 | Ester=0.0100 | Ether=0.1945,Haloalkane=0.4422 | Sulfide=0.6291
2416,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ether | Thioamide,Alkane | Arene | Ether | Haloalkane | Sulfoxide,Alkene | Amine | Enamine | Thioamide,Haloalkane | Sulfoxide,Alkene=0.0813 | Amine=0.0034 | Enamine=0.0004 | Thioamide=0.0000,Haloalkane=0.6413 | Sulfoxide=0.9713
2488,5,1,6,Alcohol | Alkane | Alkene | Arene | Enol | Ketone | Sulfone,Alkane | Ketone | Sulfide,Alcohol | Alkene | Arene | Enol | Sulfone,Sulfide,Alcohol=0.0020 | Alkene=0.5482 | Arene=0.1779 | Enol=0.0008 | Sulfone=0.0060,Sulfide=0.8259
2884,1,5,6,Alkane | Amide | Arene | Haloalkane,Alcohol | Alkane | Amide | Arene | Carbamate | Ether | Imide | Sulfide,Haloalkane,Alcohol | Carbamate | Ether | Imide | Sulfide,Haloalkane=0.3089,Alcohol=0.8367 | Carbamate=0.8041 | Ether=0.5238 | Imide=0.9220 | Sulfide=0.6251
6246,2,4,6,Alkane | Carbamate | Ether | Haloalkane,Alkane | Alkene | Amide | Amine | Ether | Sulfide,Carbamate | Haloalkane,Alkene | Amide | Amine | Sulfide,Carbamate=0.0782 | Haloalkane=0.2371,Alkene=0.7395 | Amide=0.9461 | Amine=0.5022 | Sulfide=0.7867
6251,4,2,6,Alkane | Alkene | Amide | Amine | Arene | Enamine | Haloalkane,Alkane | Amine | Arene | Ether | Ketone,Alkene | Amide | Enamine | Haloalkane,Ether | Ketone,Alkene=0.3924 | Amide=0.2172 | Enamine=0.0025 | Haloalkane=0.3477,Ether=0.8110 | Ketone=0.7413
10567,2,4,6,Alcohol | Alkane | Arene | Haloalkane | Phenol,Alcohol | Alkane | Alkene | Arene | Ester | Ether | Sulfide,Haloalkane | Phenol,Alkene | Ester | Ether | Sulfide,Haloalkane=0.2613 | Phenol=0.1128,Alkene=0.7101 | Ester=0.7278 | Ether=0.6603 | Sulfide=0.7926
15676,2,4,6,Alkane | Arene | Ester | Ether | Haloalkane,Alkane | Amine | Arene | Enamine | Ether | Ketone | Sulfide,Ester | Haloalkane,Amine | Enamine | Ketone | Sulfide,Ester=0.1684 | Haloalkane=0.2319,Amine=0.6165 | Enamine=0.9427 | Ketone=0.8240 | Sulfide=0.7179
16036,5,1,6,Alcohol | Alkane | Amide | Amine | Arene | Carbamate | Ether | Haloalkane | Sulfide | Thioamide,Alcohol | Alkane | Amine | Arene | Ester | Ether,Amide | Carbamate | Haloalkane | Sulfide | Thioamide,Ester,Amide=0.3995 | Carbamate=0.0215 | Haloalkane=0.2663 | Sulfide=0.1199 | Thioamide=0.1530,Ester=0.7841
17889,5,1,6,Alkane | Alkene | Amine | Arene | Haloalkane | Ketone,Alkane | Amide,Alkene | Amine | Arene | Haloalkane | Ketone,Amide,Alkene=0.5349 | Amine=0.2864 | Arene=0.0199 | Haloalkane=0.1143 | Ketone=0.0389,Amide=0.4883
19383,1,5,6,Alkane | Alkene | Amide,Alkane | Amide | Arene | Ester | Ether | Haloalkane | Sulfide,Alkene,Arene | Ester | Ether | Haloalkane | Sulfide,Alkene=0.3451,Arene=0.9964 | Ester=0.9908 | Ether=0.9618 | Haloalkane=0.5411 | Sulfide=0.5342
20588,4,2,6,Alcohol | Alkane | Amine | Arene | Ester | Ether | Phenol,Alkane | Amine | Arene | Haloalkane | Hydrazone,Alcohol | Ester | Ether | Phenol,Haloalkane | Hydrazone,Alcohol=0.0007 | Ester=0.0080 | Ether=0.1507 | Phenol=0.0018,Haloalkane=0.5774 | Hydrazone=0.9172
25583,3,3,6,Alkane | Arene | Haloalkane | Ketone | Sulfide | Sulfone,Acyl halide | Alkane | Amine | Arene | Ether | Haloalkane,Ketone | Sulfide | Sulfone,Acyl halide | Amine | Ether,Ketone=0.1878 | Sulfide=0.0430 | Sulfone=0.6514,Acyl halide=0.9920 | Amine=0.7429 | Ether=0.4585
27364,3,3,6,Alcohol | Alkane | Alkene | Amide | Amine | Carboxylic acid | Hydrazine | Sulfonamide,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Ether | Sulfone,Alkene | Hydrazine | Sulfonamide,Arene | Ether | Sulfone,Alkene=0.0175 | Hydrazine=0.0015 | Sulfonamide=0.0104,Arene=0.4514 | Ether=0.6931 | Sulfone=0.9990
28459,1,5,6,Alcohol | Amide | Carboxylic acid | Haloalkane,Alcohol | Alkane | Amine | Arene | Carboxylic acid | Ether | Haloalkane | Phenol,Amide,Alkane | Amine | Arene | Ether | Phenol,Amide=0.3246,Alkane=0.9698 | Amine=0.7793 | Arene=0.4319 | Ether=0.5575 | Phenol=0.8762
29347,4,2,6,Alcohol | Alkene | Amide | Amine | Arene | Enamine | Imide | Phenol,Alcohol | Alkane | Amine | Arene | Ether | Phenol,Alkene | Amide | Enamine | Imide,Alkane | Ether,Alkene=0.1915 | Amide=0.1384 | Enamine=0.7216 | Imide=0.1104,Alkane=0.9988 | Ether=0.4507
29469,4,2,6,Alkene | Amide | Arene | Enamine | Ester | Ether | Haloalkane,Alkane | Amide | Arene | Haloalkane | Hydrazine,Alkene | Enamine | Ester | Ether,Alkane | Hydrazine,Alkene=0.0021 | Enamine=0.0072 | Ester=0.4764 | Ether=0.2088,Alkane=0.9187 | Hydrazine=0.9966
29735,3,3,6,Alkene | Amine | Arene | Enamine | Haloalkane | Hydrazone,Alkane | Amine | Arene | Ether | Hydrazone | Sulfide,Alkene | Enamine | Haloalkane,Alkane | Ether | Sulfide,Alkene=0.0586 | Enamine=0.0140 | Haloalkane=0.1919,Alkane=0.1956 | Ether=0.5602 | Sulfide=0.8392
31058,2,4,6,Alcohol | Alkane | Alkene | Enol | Ester | Ether,Alcohol | Alkane | Amine | Arene | Ester | Ether | Haloalkane | Sulfonamide,Alkene | Enol,Amine | Arene | Haloalkane | Sulfonamide,Alkene=0.3983 | Enol=0.7886,Amine=0.5736 | Arene=0.2882 | Haloalkane=0.5618 | Sulfonamide=0.7842
33607,3,3,6,Alkane | Amine | Arene | Ether | Nitrile | Thioamide,Alkane | Amide | Arene | Ether | Haloalkane | Sulfide,Amine | Nitrile | Thioamide,Amide | Haloalkane | Sulfide,Amine=0.2256 | Nitrile=0.0411 | Thioamide=0.0412,Amide=0.6691 | Haloalkane=0.6455 | Sulfide=0.5210
36893,3,3,6,Alkane | Amide | Amine | Arene | Imide | Ketone,Alkane | Amine | Arene | Carbamate | Ether | Sulfide,Amide | Imide | Ketone,Carbamate | Ether | Sulfide,Amide=0.1999 | Imide=0.0003 | Ketone=0.0124,Carbamate=1.0000 | Ether=0.9521 | Sulfide=0.5247
41422,6,0,6,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Hydrazine,Alkane | Amide | Arene | Ether,Alkene | Amine | Enamine | Ester | Haloalkane | Hydrazine,,Alkene=0.0002 | Amine=0.0018 | Enamine=0.0000 | Ester=0.2699 | Haloalkane=0.1961 | Hydrazine=0.0000,
43413,2,4,6,Aldehyde | Alkane | Arene | Ether | Haloalkane,Alkane | Alkene | Amide | Arene | Enamine | Haloalkane | Ketone,Aldehyde | Ether,Alkene | Amide | Enamine | Ketone,Aldehyde=0.0303 | Ether=0.3446,Alkene=0.8174 | Amide=0.7700 | Enamine=0.9982 | Ketone=0.9109
44834,1,5,6,Alkane | Amide | Haloalkane,Alkane | Alkene | Amide | Carbamate | Ether | Ketone | Sulfide,Haloalkane,Alkene | Carbamate | Ether | Ketone | Sulfide,Haloalkane=0.2817,Alkene=0.6760 | Carbamate=0.8909 | Ether=0.5989 | Ketone=0.6516 | Sulfide=0.7064
50183,3,3,6,Alkane | Amide | Amine | Arene | Sulfide,Alkane | Arene | Ester | Haloalkane | Ketone,Amide | Amine | Sulfide,Ester | Haloalkane | Ketone,Amide=0.0181 | Amine=0.0302 | Sulfide=0.0477,Ester=0.8002 | Haloalkane=0.5325 | Ketone=0.9654
56285,3,3,6,Aldehyde | Alkane | Ether | Haloalkane | Ketone,Alcohol | Alkane | Arene | Haloalkane | Sulfide,Aldehyde | Ether | Ketone,Alcohol | Arene | Sulfide,Aldehyde=0.0004 | Ether=0.1698 | Ketone=0.4189,Alcohol=0.9531 | Arene=0.8332 | Sulfide=0.8075
57083,4,2,6,Alcohol | Alkane | Amine | Arene | Haloalkane | Ketone | Sulfone,Alcohol | Alkane | Arene | Ester | Ether,Amine | Haloalkane | Ketone | Sulfone,Ester | Ether,Amine=0.0714 | Haloalkane=0.1803 | Ketone=0.5535 | Sulfone=0.0590,Ester=0.6937 | Ether=0.9405
62448,2,4,6,Alkane | Alkene | Amide | Enamine | Haloalkane,Alkane | Alkene | Amide | Amine | Ether | Ketone | Sulfide,Enamine | Haloalkane,Amine | Ether | Ketone | Sulfide,Enamine=0.1033 | Haloalkane=0.2483,Amine=0.5328 | Ether=0.9161 | Ketone=0.7633 | Sulfide=0.5983
65542,5,1,6,Alcohol | Alkane | Amine | Arene | Ester | Ether | Haloalkane | Hydrazone | Phenol | Sulfide | Thioamide,Alkane | Amide | Amine | Ester | Ether | Haloalkane | Thioamide,Alcohol | Arene | Hydrazone | Phenol | Sulfide,Amide,Alcohol=0.1394 | Arene=0.0993 | Hydrazone=0.0002 | Phenol=0.0001 | Sulfide=0.3257,Amide=0.9925
69068,3,3,6,Alcohol | Alkane | Amide | Amine | Arene | Imide | Phenol,Alkane | Amide | Arene | Ester | Ether | Ketone | Phenol,Alcohol | Amine | Imide,Ester | Ether | Ketone,Alcohol=0.2309 | Amine=0.1891 | Imide=0.0274,Ester=0.6981 | Ether=0.6535 | Ketone=0.7881
73691,1,5,6,Alcohol | Alkane | Arene | Carboxylic acid,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Phenol | Sulfide,Carboxylic acid,Ester | Ether | Haloalkane | Phenol | Sulfide,Carboxylic acid=0.4511,Ester=0.6177 | Ether=0.7866 | Haloalkane=0.7118 | Phenol=0.9358 | Sulfide=0.6941
74323,5,1,6,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Ketone | Phenol | Sulfide,Alcohol | Alkane | Amide | Amine | Arene | Ether | Phenol,Alkene | Enamine | Ester | Ketone | Sulfide,Amide,Alkene=0.2761 | Enamine=0.0881 | Ester=0.3550 | Ketone=0.1596 | Sulfide=0.0132,Amide=0.5893
85261,2,4,6,Alcohol | Alkane | Amine | Arene | Haloalkane | Sulfide,Alcohol | Alkane | Alkene | Amide | Ester | Ether | Haloalkane | Sulfide,Amine | Arene,Alkene | Amide | Ester | Ether,Amine=0.4204 | Arene=0.1530,Alkene=0.6653 | Amide=0.9715 | Ester=0.7021 | Ether=0.5355
86675,3,3,6,Alkane | Amide | Amine | Haloalkane | Sulfide,Alkane | Arene | Ester | Ether | Haloalkane,Amide | Amine | Sulfide,Arene | Ester | Ether,Amide=0.1162 | Amine=0.3576 | Sulfide=0.0956,Arene=0.3015 | Ester=0.9437 | Ether=0.8700
91359,3,3,6,Alkane | Arene | Carbamate | Ether | Haloalkane,Amide | Amine | Arene | Haloalkane | Sulfide,Alkane | Carbamate | Ether,Amide | Amine | Sulfide,Alkane=0.0995 | Carbamate=0.0000 | Ether=0.1820,Amide=0.6280 | Amine=0.7261 | Sulfide=0.9291
95028,2,4,6,Alcohol | Alkane | Amide | Amine | Arene | Haloalkane | Thioamide,Alcohol | Alkane | Amine | Arene | Ester | Ether | Haloalkane | Phenol | Sulfide,Amide | Thioamide,Ester | Ether | Phenol | Sulfide,Amide=0.2591 | Thioamide=0.0004,Ester=0.7285 | Ether=0.7876 | Phenol=0.9977 | Sulfide=0.6992
100050,4,2,6,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Haloalkane | Sulfide | Thioamide,Alcohol | Alkane | Arene | Enol | Ether | Haloalkane | Phenol,Alkene | Amide | Sulfide | Thioamide,Ether | Phenol,Alkene=0.5831 | Amide=0.3077 | Sulfide=0.4421 | Thioamide=0.7333,Ether=0.6630 | Phenol=0.9979
106478,3,3,6,Alkane | Alkene | Amide | Enamine | Sulfide,Alkane | Arene | Carbamate | Ether | Sulfide,Alkene | Amide | Enamine,Arene | Carbamate | Ether,Alkene=0.0660 | Amide=0.1157 | Enamine=0.0002,Arene=0.4580 | Carbamate=0.8889 | Ether=0.6263
107716,4,2,6,Alcohol | Alkane | Alkene | Amide | Arene | Azo compound | Enol | Ketone,Alcohol | Alkane | Amide | Amine | Arene | Ether,Alkene | Azo compound | Enol | Ketone,Amine | Ether,Alkene=0.0991 | Azo compound=0.0288 | Enol=0.1248 | Ketone=0.2511,Amine=0.7558 | Ether=0.5852
108316,3,3,6,Alkane | Amine | Arene | Ether | Sulfide | Thioamide,Amide | Arene | Carbamate | Ether | Haloalkane | Sulfide,Alkane | Amine | Thioamide,Amide | Carbamate | Haloalkane,Alkane=0.0809 | Amine=0.0851 | Thioamide=0.1025,Amide=0.9847 | Carbamate=0.9734 | Haloalkane=0.5010
110410,3,3,6,Alcohol | Alkane | Arene | Carbamate | Carboxylic acid | Ether,Alkane | Amide | Arene | Carboxylic acid | Sulfide | Thial,Alcohol | Carbamate | Ether,Amide | Sulfide | Thial,Alcohol=0.6225 | Carbamate=0.0194 | Ether=0.1926,Amide=0.9836 | Sulfide=0.5304 | Thial=0.0305
111359,0,6,6,Alkane | Alkene | Amide,Alkane | Alkene | Amide | Arene | Ester | Ether | Haloalkane | Ketone | Sulfide,,Arene | Ester | Ether | Haloalkane | Ketone | Sulfide,,Arene=0.9601 | Ester=0.8358 | Ether=0.5214 | Haloalkane=0.6321 | Ketone=0.9278 | Sulfide=0.5125
115283,3,3,6,Alkane | Alkene | Amide | Ether | Ketone | Sulfide,Alkane | Amine | Ester | Ether | Haloalkane | Ketone,Alkene | Amide | Sulfide,Amine | Ester | Haloalkane,Alkene=0.4719 | Amide=0.0508 | Sulfide=0.4551,Amine=0.9093 | Ester=0.8093 | Haloalkane=0.6550
116757,4,2,6,Alkane | Alkene | Amine | Arene | Enamine | Ketone,Alkane | Arene | Ether | Haloalkane,Alkene | Amine | Enamine | Ketone,Ether | Haloalkane,Alkene=0.0015 | Amine=0.1560 | Enamine=0.0000 | Ketone=0.0027,Ether=0.8071 | Haloalkane=0.5584
117615,5,1,6,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Enol,Alkane | Arene | Phenol,Alcohol | Alkene | Amine | Enamine | Enol,Phenol,Alcohol=0.1585 | Alkene=0.0210 | Amine=0.1809 | Enamine=0.0001 | Enol=0.0000,Phenol=0.7082
118542,4,2,6,Alcohol | Alkane | Amide | Ester | Ether | Haloalkane | Ketone,Alcohol | Alkane | Alkene | Carbamate | Ether,Amide | Ester | Haloalkane | Ketone,Alkene | Carbamate,Amide=0.3107 | Ester=0.0321 | Haloalkane=0.2128 | Ketone=0.0082,Alkene=0.7772 | Carbamate=0.8474
119894,1,5,6,Alkane | Arene | Sulfone | Sulfoxide,Alkane | Amine | Arene | Ester | Ether | Haloalkane | Sulfonamide | Sulfone,Sulfoxide,Amine | Ester | Ether | Haloalkane | Sulfonamide,Sulfoxide=0.0004,Amine=0.9585 | Ester=0.8123 | Ether=0.7980 | Haloalkane=0.4414 | Sulfonamide=0.9392
120448,5,1,6,Alkane | Alkene | Amide | Amine | Ester | Ether | Sulfide,Alkane | Amide | Arene,Alkene | Amine | Ester | Ether | Sulfide,Arene,Alkene=0.3787 | Amine=0.2658 | Ester=0.0776 | Ether=0.2314 | Sulfide=0.1797,Arene=0.7349
120937,5,1,6,Alcohol | Alkane | Arene | Ether | Nitrile | Phenol,Alcohol | Alkene,Alkane | Arene | Ether | Nitrile | Phenol,Alkene,Alkane=0.0356 | Arene=0.1047 | Ether=0.2313 | Nitrile=0.5912 | Phenol=0.0745,Alkene=0.8485
121305,3,3,6,Alkane | Amide | Arene | Hydrazone | Nitrile,Alkane | Amine | Arene | Haloalkane | Ketone,Amide | Hydrazone | Nitrile,Amine | Haloalkane | Ketone,Amide=0.4255 | Hydrazone=0.0004 | Nitrile=0.1623,Amine=0.7545 | Haloalkane=0.9037 | Ketone=0.9371
128447,2,4,6,Alkane | Haloalkane | Hydrazone | Nitrile,Alkane | Alkene | Amide | Ether | Nitrile | Sulfide,Haloalkane | Hydrazone,Alkene | Amide | Ether | Sulfide,Haloalkane=0.2962 | Hydrazone=0.0024,Alkene=0.6934 | Amide=0.7056 | Ether=0.9466 | Sulfide=0.6027
132309,3,3,6,Alkane | Alkene | Arene | Ester | Ether | Ketone,Alkane | Amide | Arene | Haloalkane | Ketone | Sulfide,Alkene | Ester | Ether,Amide | Haloalkane | Sulfide,Alkene=0.0779 | Ester=0.0660 | Ether=0.1073,Amide=0.7397 | Haloalkane=0.6381 | Sulfide=0.5469
133476,2,4,6,Alkyne | Amine | Arene | Haloalkane | Sulfide | Sulfonamide,Alkane | Alkene | Amide | Amine | Arene | Haloalkane | Sulfonamide | Sulfone,Alkyne | Sulfide,Alkane | Alkene | Amide | Sulfone,Alkyne=0.0006 | Sulfide=0.2291,Alkane=0.9532 | Alkene=0.6977 | Amide=0.7916 | Sulfone=0.9983
